Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
80,255,11.9M,1.1M,197.9K,978,10.8M,35.6K,2.18,13:27,58.92%
44,1.2K,307.7K,19.1K,20K,366,88.4K,2.3K,2.24,4:12,60.27%
99,386,107.7M,7.1M,739.6K,6.7K,91.7M,389.2K,3.64,15:53,29.61%
59,199,2.3M,221.5K,53.7K,439,1.3M,6.9K,1.56,11:07,79.83%
79,41,9.5M,729K,687.8K,6.5K,7.2M,9.3K,2.15,7:42,54.11%
56,440,990.6K,96.1K,86.8K,2.5K,433.4K,4.7K,4.17,10:41,47.19%
50,761,535.7K,48.1K,49.3K,123,899.3K,4.4K,1.62,6:55,69.26%
75,1.2K,6.5M,1M,11.9K,910,211.3M,53K,4.74,5:24,35.41%
44,1.8K,188.6K,54.4K,1.7K,143,10.8M,5.3K,3.47,7:45,58.67%
49,150,3.1M,14.7K,16.2K,148,163.6K,2.8K,9.62,32:13:00,35.52%
73,91,4.6M,340.7K,144K,1.4K,1.2M,6.9K,3.29,10:08,46.40%
44,2.4K,136.2K,33.1K,35.9K,295,187K,2.1K,1.78,12:16,69.70%
63,94,4.5M,390K,132.2K,1.1K,95.4K,3.3K,2.21,8:15,52.88%
46,1.5K,241.2K,7.2K,36.7K,129,2.6M,3.3K,3.48,12:24,51.86%
86,2.2K,19.2M,17.8M,105.3K,4.3K,209.2M,432.2K,3.26,7:01,61.83%
89,372,33M,2.9M,74.8K,227,231.4M,170.6K,2.85,7:49,44.93%
92,2.7K,43.4M,11.8M,724.6K,24.4K,352.9M,148.8K,9.09,19:27,25.59%
43,2.8K,111.7K,37.3K,10.1K,256,166.9K,4.1K,2.43,8:26,65.15%
75,40,9.4M,2.7M,150K,1.3K,10.4M,20.3K,4.25,9:38,54.64%
46,629,666.6K,777.7K,13.4K,71,12.7M,6.6K,1.52,9:49,76.91%
69,60,6.8M,527K,1M,17.1K,10.1M,10.6K,2.87,13:41,59.93%
79,46,8.9M,157.7K,63.1K,196,863.7K,2.3K,6.33,28:04:00,26.68%
